Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,ifAttacked
#80P8UPUG,thekojiman,2,3,100,True
#LCUQL8Q9C,FancySky,38,2,50,True
#2PRPCLLUY,bob the third,20,0,49,True
#2982YPYV,~ iPlayLOL ~,11,2,73,True
#8CYCYPGLG,ダスデ,6,3,100,True
#28CPYJ902,AKgamer243,28,0,44,True
#8JVVLYQ2U,DawsoD,3,1,60,True
#QGLPVRGU2,StruggleHuggle,22,2,61,True
#Q8QUU888P,King Harlon,12,0,0,False
#PQ8GV8U,super d,1,3,100,True
#L8GR8VUY,irina,19,0,41,True
#2QYGQ9CQL,Uncle Grandpa,32,0,27,True
#Q0QJJCL0,strahovski,21,0,36,True
#P0LPJPR2,DawsoD’s Uncle,25,2,62,True
#JU9QRQLJ,Theron927,4,3,100,True
